,label,blue,green,red,nir,swir1,swir2
2686,veg,8512.0,9008.0,9025.0,15987.0,14697.0,11043.0
2687,veg,8585.0,8858.0,8956.0,15240.0,13981.0,10949.0
2688,veg,8586.0,8784.0,8752.0,15389.0,13534.0,10483.0
2689,veg,8442.0,8708.0,8684.0,15538.0,13891.0,10483.0
2690,veg,8371.0,8785.0,8684.0,15836.0,13534.0,10204.0
2691,veg,8298.0,8710.0,8617.0,16133.0,13444.0,10111.0
2692,veg,8300.0,8711.0,8686.0,15686.0,13801.0,10483.0
2693,veg,8301.0,8862.0,8755.0,16132.0,14069.0,10483.0
2694,veg,8375.0,8938.0,8755.0,17321.0,13979.0,10389.0
2695,veg,8303.0,8939.0,8619.0,17618.0,13711.0,10110.0
2696,veg,8230.0,8789.0,8551.0,15685.0,12906.0,10017.0
2697,veg,8231.0,8714.0,8551.0,16131.0,13084.0,9923.0
2698,veg,8378.0,8865.0,8689.0,15982.0,13621.0,10389.0
2699,veg,8306.0,8716.0,8689.0,15087.0,13710.0,10482.0
2700,veg,8307.0,8716.0,8485.0,15086.0,13442.0,10016.0
2701,veg,8308.0,8717.0,8622.0,15234.0,13173.0,10203.0
2702,veg,8164.0,8643.0,8555.0,15831.0,13262.0,10110.0
2703,veg,8384.0,8944.0,8965.0,15830.0,13888.0,10482.0
2704,veg,8240.0,9095.0,9034.0,14935.0,14692.0,11319.0
2705,veg,8387.0,9020.0,8830.0,14935.0,14781.0,11225.0
2706,veg,8588.0,8785.0,8684.0,15388.0,13534.0,10390.0
2707,veg,8514.0,8859.0,8752.0,15389.0,13713.0,10390.0
2708,veg,8443.0,8785.0,8616.0,15388.0,13085.0,10111.0
2709,veg,8372.0,8861.0,8685.0,16133.0,12906.0,9924.0
2710,veg,8445.0,8711.0,8617.0,16282.0,13264.0,9924.0
2711,veg,8228.0,8862.0,8618.0,16132.0,14069.0,10483.0
2712,veg,8375.0,8712.0,8619.0,16430.0,14069.0,10389.0
2713,veg,8376.0,8789.0,8619.0,16429.0,14247.0,10389.0
2714,veg,8304.0,8865.0,8688.0,17320.0,14068.0,10296.0
2715,veg,8303.0,8939.0,8619.0,17618.0,13711.0,10110.0
2716,veg,8378.0,8790.0,8552.0,16280.0,13711.0,10203.0
2717,veg,8305.0,8866.0,8689.0,15683.0,13978.0,10482.0
2718,veg,8307.0,8792.0,8690.0,15087.0,13889.0,10482.0
2719,veg,8381.0,8793.0,8554.0,15086.0,13353.0,10110.0
2720,veg,8309.0,8794.0,8486.0,15086.0,13352.0,10016.0
2721,veg,8238.0,8794.0,8692.0,15234.0,13531.0,10388.0
2722,veg,8311.0,8719.0,8692.0,15382.0,13441.0,10203.0
2723,veg,8386.0,8871.0,8829.0,15233.0,14155.0,10668.0
2724,veg,8314.0,8946.0,8966.0,14935.0,14513.0,11225.0
2725,veg,8460.0,8947.0,8967.0,14934.0,14869.0,11318.0
2726,veg,8590.0,8710.0,8548.0,15089.0,12817.0,9924.0
2727,veg,8444.0,8710.0,8548.0,15687.0,13264.0,10111.0
2728,veg,8445.0,8711.0,8480.0,15686.0,12996.0,9830.0
2729,veg,8228.0,8787.0,8686.0,16132.0,13533.0,10017.0
2730,veg,8447.0,8788.0,8618.0,15984.0,12816.0,10017.0
2731,veg,8376.0,8864.0,8687.0,15834.0,13354.0,10296.0
2732,veg,8231.0,8714.0,8688.0,16280.0,13353.0,10296.0
2733,veg,8378.0,8791.0,8689.0,16428.0,13979.0,10389.0
2734,veg,8304.0,8865.0,8688.0,17320.0,14068.0,10296.0
2735,veg,8378.0,8940.0,8689.0,18653.0,14157.0,10203.0
2736,veg,8452.0,8941.0,8758.0,17170.0,14335.0,10575.0
2737,veg,8307.0,8867.0,8758.0,15384.0,14246.0,10854.0
2738,veg,8308.0,8717.0,8759.0,14787.0,13442.0,10389.0
2739,veg,8237.0,8794.0,8555.0,15234.0,13442.0,10203.0
2740,veg,8311.0,8795.0,8624.0,15383.0,13531.0,10203.0
2741,veg,8240.0,8870.0,8761.0,14935.0,13888.0,10575.0
2742,veg,8386.0,8796.0,8761.0,15084.0,13976.0,10481.0
2743,veg,8459.0,8797.0,8830.0,14934.0,14244.0,10853.0
2744,veg,8460.0,8947.0,8899.0,14784.0,14423.0,11040.0
2745,veg,8461.0,9022.0,9172.0,14934.0,15226.0,11505.0
2746,veg,8518.0,8862.0,8823.0,15089.0,13443.0,10296.0
2747,veg,8446.0,8711.0,8755.0,15686.0,13354.0,10204.0
2748,veg,8375.0,8788.0,8413.0,15835.0,13263.0,10110.0
2749,veg,8157.0,8563.0,8687.0,15386.0,13174.0,10110.0
2750,veg,8449.0,8714.0,8620.0,15535.0,13174.0,9923.0
2751,veg,8232.0,8865.0,8620.0,15535.0,13443.0,10203.0
2752,veg,8231.0,8714.0,8688.0,16280.0,13353.0,10296.0
2753,veg,8378.0,8791.0,8689.0,16428.0,13979.0,10389.0
2754,veg,8379.0,8791.0,8758.0,17171.0,13978.0,10203.0
2755,veg,8380.0,9092.0,8690.0,18946.0,14961.0,10761.0
2756,veg,8453.0,8942.0,8759.0,18207.0,14604.0,10761.0
2757,veg,8237.0,8943.0,8623.0,16277.0,14156.0,10575.0
2758,veg,8310.0,8719.0,8692.0,14936.0,13352.0,10295.0
2759,veg,8239.0,8719.0,8692.0,15233.0,13530.0,10388.0
2760,veg,8312.0,8720.0,8693.0,14935.0,13441.0,10203.0
2761,veg,8242.0,8871.0,8694.0,15232.0,13709.0,10760.0
2762,veg,8315.0,8798.0,8762.0,14934.0,14244.0,10853.0
2763,veg,8389.0,8798.0,8763.0,14934.0,14065.0,10853.0
2764,veg,8462.0,8948.0,8900.0,14933.0,14958.0,11411.0
2765,veg,8463.0,9023.0,9037.0,14784.0,14868.0,11411.0
2766,veg,8594.0,8939.0,8756.0,15088.0,13800.0,10482.0
2767,veg,8302.0,8864.0,8756.0,15535.0,13979.0,10576.0
2768,veg,8521.0,8790.0,8825.0,15684.0,13622.0,10669.0
2769,veg,8232.0,8714.0,8689.0,15535.0,13353.0,10110.0
2770,veg,8379.0,8715.0,8621.0,15683.0,13710.0,10295.0
2771,veg,8232.0,8865.0,8620.0,15535.0,13443.0,10203.0
2772,veg,8379.0,8566.0,8621.0,15534.0,13353.0,10017.0
2773,veg,8235.0,8716.0,8553.0,15832.0,13531.0,10203.0
2774,veg,8236.0,8867.0,8827.0,16129.0,13799.0,10482.0
2775,veg,8454.0,8868.0,8623.0,17763.0,14693.0,10854.0
2776,veg,8310.0,8869.0,8555.0,18205.0,13709.0,10203.0
2777,veg,8239.0,8870.0,8419.0,17168.0,12815.0,9829.0
2778,veg,8457.0,8645.0,8624.0,15681.0,13977.0,10295.0
2779,veg,8168.0,8796.0,8830.0,15232.0,13619.0,10668.0
2780,veg,8531.0,8721.0,8421.0,14934.0,13441.0,10295.0
2781,veg,8098.0,8798.0,8626.0,15977.0,13619.0,10574.0
2782,veg,8461.0,8799.0,8831.0,15083.0,14243.0,11133.0
2783,veg,8317.0,8874.0,8696.0,14933.0,14154.0,10853.0
2784,veg,8463.0,8949.0,8901.0,14783.0,14779.0,11318.0
2785,veg,8465.0,8801.0,8765.0,14334.0,13886.0,10853.0
2786,veg,8305.0,8940.0,8689.0,15385.0,14068.0,10761.0
2787,veg,8450.0,8865.0,9030.0,15236.0,14068.0,10761.0
2788,veg,8596.0,8866.0,8894.0,15534.0,14335.0,11041.0
2789,veg,8380.0,8941.0,8826.0,15384.0,14335.0,10761.0
2790,veg,8379.0,8715.0,8621.0,15683.0,13710.0,10295.0
2791,veg,8380.0,8716.0,8690.0,15235.0,13978.0,10482.0
2792,veg,8308.0,8642.0,8485.0,15683.0,13799.0,10482.0
2793,veg,8237.0,8717.0,8691.0,15384.0,13531.0,9923.0
2794,veg,8383.0,8943.0,8760.0,17020.0,14514.0,10761.0
2795,veg,8384.0,9019.0,8760.0,17761.0,14781.0,10947.0
2796,veg,8385.0,8795.0,8488.0,17019.0,13888.0,10203.0
